"File","Time","Period","Culture","Region","Modern Country"
"egypt3rd_9.jpg","-300:-200","Hellenistic","Egyptian","Egypt","Egypt"
"egypt_3rd_10.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"egypt_3c_11.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"egypt_3rc_7.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"egypt_3rd_12.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"egypt_3rdcentury_BC_67.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"egypt_3rdcentury.jpg","-300:-200","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"egypt_4thC_14.jpg","-400:-300","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"gandhara1.jpeg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara2.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara3.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara4.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara5.jpeg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara6.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara7.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara8.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara9.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara10.jpg","100:300","Kushan","Kushan","Gandhara","Pakistan"
"gandhara11.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan"
"gandhara12.jpg","100:300","Kushan","Kushan","Gandhara","Pakistan"
"gandhara13.jpg","200:400","Kushan","Kushan","Gandhara","Pakistan"
"gandhara14.jpg","100:300","Kushan","Kushan","Gandhara","Pakistan"
"gandhara15.jpg","200:300","Kushan","Kushan","Gandhara","Pakistan"
"gandhara16.jpg","200:300","Kushan","Kushan","Gandhara","Pakistan"
"greek1st_4.jpg","-100:100","Roman","Greek","Aegean","Greece"
"greek2nd_2.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece"
"greek2nd_3.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece"
"greek2nd_4.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece"
"greek2nd_5.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece"
"greek3d_3.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece"
"greek3_8.png","-300:-200","Hellenistic","Greek","Aegean","Greece"
"greek3rc4.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece"
"greek3rc3.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece"
"greek3_22.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece"
"greek3_49.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece"
"greek4_5.jpg","-400:-100","Hellenistic","Greek","Aegean","Greece"
"greek4_7.jpg","-400:-100","Hellenistic","Greek","Aegean","Greece"
"greek_4_1__8.JPG","-400:-100","Hellenistic","Greek","Aegean","Greece"
"greek4th_6.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece"
"greek4th_1.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece"
"greek4th_2.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece"
"greek4-14.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece"
"greek2_15.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece"
"ptolemaic_2.jpg","-200:-100","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"ptolemaic_ruler2.jpg","-200:-100","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"ptolemaic1.jpg","-200:-100","Hellenistic","Greco-Egyptian","Egypt","Egypt"
"shami_statue_parthian.jpg","-200:200","Parthian","Parthian","Iran","Iran"
"Palmyra25.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra26.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra30.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra33.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra38.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra39_male.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra46.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra47.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra48.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
"Palmyra49.jpg","-100:300","Roman","Palmyrian","Mesopotamia","Iraq"
