"File","Time","Period","Culture","Region","Modern Country","Source"
"gandhara6.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan","National Museum of Pakistan"
"gandhara7.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan","Tokyo National Museum"
"gandhara8.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan",
"gandhara9.jpg","100:200","Kushan","Kushan","Gandhara","Pakistan",
"greece_27_2200BCE5.jpg","-2700:-2200","Cycladic","Cyclades","Aegean","Greece",
"greece_27_2200BCE6.jpg","-2700:-2200","Cycladic","Cyclades","Aegean","Greece",
"greece_27_2200BCE7.jpg","-2700:-2200","Cycladic","Cyclades","Aegean","Greece",
"greece_27_2300BCE4.jpg","-2700:-2300","Cycladic","Cyclades","Aegean","Greece",
"greece_27_2400BCE8.jpg","-2700:-2400","Cycladic","Cyclades","Aegean","Greece",
"greece_27_2500BCE1.jpg","-2700:-2500","Cycladic","Cyclades","Aegean","Greece",
"greece_28_2500BCE2.jpg","-2800:-2500","Cycladic","Cyclades","Aegean","Greece",
"greek_4_1__8.JPG","-400:-100","Hellenistic","Greek","Aegean","Greece",
"greek1st_4.jpg","-100:100","Roman","Greek","Aegean","Greece",
"greek2_15.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece",
"greek2nd_2.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece",
"greek2nd_3.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece",
"greek2nd_4.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece",
"greek2nd_5.jpg","-200:-100","Hellenistic","Greek","Aegean","Greece",
"greek3_22.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece",
"greek3_8.png","-300:-200","Hellenistic","Greek","Aegean","Greece",
"greek3d_3.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece",
"greek3rc3.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece",
"greek3rc4.jpg","-300:-200","Hellenistic","Greek","Aegean","Greece",
"greek4_5.jpg","-400:-100","Hellenistic","Greek","Aegean","Greece",
"greek4_7.jpg","-400:-100","Hellenistic","Greek","Aegean","Greece",
"greek4-14.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece",
"greek4th_1.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece",
"greek4th_2.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece",
"greek4th_6.jpg","-400:-300","Hellenistic","Greek","Aegean","Greece",
"greek5_11.jpg","-500:-400","Hellenistic","Greek","Aegean","Greece",
"greek5th_6.jpg","-500:-400","Archaic","Greek","Aegean","Greece",
"greek6_1.jpg","-600:-500","Hellenistic","Greek","Aegean","Greece",
"greek6_2.jpg","-600:-500","Archaic","Greek","Aegean","Greece",
"hazor-lb-1.jpg","-1400:-1200","Late Bronze","Canaanite","Levant","Lebanon","Latakia Museum"
"hittite_8-11.jpg","-800:-1200","Iron Age","Hittite","Anatolia","Turkey",
"hittite_8-11.jpg","-800:-1200","Iron Age","Hittite","Anatolia","Turkey",
"idalion_2_6thCentury.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus",
"idalion_3_5thCentury.jpg","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus",
"idalion_4_4thCentury.jpg","-400:-300","Achaemenid","Cypriot","Cyprus","Cyprus",
"idalion_5th_5.JPG","-500:-400","Achaemenid","Cypriot","Cyprus","Cyprus",
"idlion_6th_15.jpg","-600:-500","Neo-Babylonian","Cypriot","Cyprus","Cyprus",
