Similarity,File 1,File 2,Time 1,Time 1 End,Period 1,Culture 1,Region 1,Time 2,Time 2 End,Period 2,Culture 2,Region 2
0.5522222222222222,SM_22cbce_2,egypt19thc_4,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-1900,-1800,Middle Kingdom,Egyptian,Egypt
0.5511111111111111,Diyala56,egypt_18th_dynasty7_1,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-1600,-1300,New Kingdom,Egyptian,Egypt
0.55,canaanite_1,egypt_5th_dynasty1,-1400,-1200,Late Bronze,Canaanite,Levant,-2500,-2300,Old Kingdom,Egyptian,Egypt
0.55,egypt_18th_dynasty7_1,susa3,-1600,-1300,New Kingdom,Egyptian,Egypt,-2400,-2200,Old Elamite,Elamite,Iran
0.5477777777777778,egypt_19th_dynasty_2,greece_27_2400BCE8,-1300,-1200,New Kingdom,Egyptian,Egypt,-2700,-2400,Cycladic,Cyclades,Aegean
0.5477777777777778,egypt_4thd_15,greece_28_2500BCE2,-2600,-2500,Old Kingdom,Egyptian,Egypt,-2800,-2500,Cycladic,Cyclades,Aegean
0.5466666666666666,canaanit_61,egypt_19th_dynasty_2,-1400,-1200,Late Bronze,Canaanite,Levant,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5466666666666666,egypt_19_5,greece_27_2300BCE4,-1300,-1200,New Kingdom,Egyptian,Egypt,-2700,-2300,Cycladic,Cyclades,Aegean
0.5466666666666666,egypt_18th_dynasty7_1,idrimi,-1600,-1300,New Kingdom,Egyptian,Egypt,-1500,-1400,Mittani,Mittani,Mesopotamia/Levant
0.5455555555555556,ebla11,egypt_5th_dynasty1,-2600,-2400,Early Bronze Age,Ebla,Levant,-2500,-2300,Old Kingdom,Egyptian,Egypt
0.5455555555555556,egypt_18d_44,sin_nippur_2600bc,-1500,-1400,New Kingdom,Egyptian,Egypt,-2600,-2500,Early Dynastic,Sumerian,Mesopotamia
0.5444444444444444,egypt_19_5,indus1,-1300,-1200,New Kingdom,Egyptian,Egypt,-2200,-1900,Harappan,Indus,India-Pakistan
0.5422222222222223,ebla5,hazor-lb-1,-2600,-2400,Early Bronze Age,Ebla,Levant,-1400,-1200,Late Bronze,Canaanite,Levant
0.5422222222222223,ebla5,levant_1400-1200BC_2,-2600,-2400,Early Bronze Age,Ebla,Levant,-1400,-1200,Late Bronze,Canaanite,Levant
0.5411111111111111,egypt_12d_9,mari5,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-2500,-2300,Early Dynastic,Mari,Mesopotamia
0.5388888888888889,SM_22cbce_3,canaanit_61,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-1400,-1200,Late Bronze,Canaanite,Levant
0.5388888888888889,egypt_18_34,egypt_18th_dynasty7_1,-1500,-1400,New Kingdom,Egyptian,Egypt,-1600,-1300,New Kingdom,Egyptian,Egypt
0.5388888888888889,greece_27_2300BCE4,indus3,-2700,-2300,Cycladic,Cyclades,Aegean,-2500,-2000,Harappan,Indus,India-Pakistan
0.5377777777777778,Diyala54,Wasit63,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia
0.5377777777777778,egypt19thc_4,egypt5d_31,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-2600,-2400,Old Kingdom,Egyptian,Egypt
0.5377777777777778,sm_22_7,thutmosesIII-1,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia,-1500,-1400,New Kingdom,Egyptian,Egypt
0.5377777777777778,egypt_6_1,sm_22_9,-2400,-2200,Old Kingdom,Egyptian,Egypt,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.5366666666666666,egypt_12thC_19,sm_22_9,-1200,-1100,New Kingdom,Egyptian,Egypt,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.5355555555555556,egypt_18th_1,susa1,-1600,-1300,New Kingdom,Egyptian,Egypt,-1400,-1100,Late Bronze Age,Elamite,Iran
0.5355555555555556,egypt_4thd_15,susa3,-2600,-2500,Old Kingdom,Egyptian,Egypt,-2400,-2200,Old Elamite,Elamite,Iran
0.5355555555555556,greece_27_2400BCE8,sm_22_9,-2700,-2400,Cycladic,Cyclades,Aegean,-2300,-2100,Akkadian-Ur III,Sumerian,Mesopotamia
0.5344444444444445,Mari1a,egypt_18th_1,-2500,-2300,Early Dynastic,Mari,Mesopotamia,-1600,-1300,New Kingdom,Egyptian,Egypt
0.5344444444444445,egypt_3rd_dynasty6,ramsesII,-2700,-2600,Old Kingdom,Egyptian,Egypt,-1300,-1200,New Kingdom,Egyptian,Egypt
0.5333333333333333,Diyala53,mesopotamia_27_25_7,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-2700,-2500,Early Dynastic,Akkadian,Mesopotamia
0.5322222222222223,egypt_18th_dynasty7_1,egypt_4thd_15,-1600,-1300,New Kingdom,Egyptian,Egypt,-2600,-2500,Old Kingdom,Egyptian,Egypt
0.5311111111111111,levant_14-12_3,ramsesII,-1400,-1200,Late Bronze,Canaanite,Levant,-1300,-1200,New Kingdom,Egyptian,Egypt
0.53,egypt5d_31,idrimi,-2600,-2400,Old Kingdom,Egyptian,Egypt,-1500,-1400,Mittani,Mittani,Mesopotamia/Levant
0.53,egypt_6_1,greece_27_2300BCE4,-2400,-2200,Old Kingdom,Egyptian,Egypt,-2700,-2300,Cycladic,Cyclades,Aegean
0.53,canaanit_61,indus3,-1400,-1200,Late Bronze,Canaanite,Levant,-2500,-2000,Harappan,Indus,India-Pakistan
0.53,egypt_19_5,sin_nippur_2600bc,-1300,-1200,New Kingdom,Egyptian,Egypt,-2600,-2500,Early Dynastic,Sumerian,Mesopotamia
0.53,ebla5,egypt_5th_dynasty1,-2600,-2400,Early Bronze Age,Ebla,Levant,-2500,-2300,Old Kingdom,Egyptian,Egypt
0.5288888888888889,egypt_12thC_19,egypt_18th_dynasty7_1,-1200,-1100,New Kingdom,Egyptian,Egypt,-1600,-1300,New Kingdom,Egyptian,Egypt
0.5277777777777778,indus2,susa2,-2200,-1900,Harappan,Indus,India-Pakistan,-1400,-1100,Late Bronze Age,Elamite,Iran
0.5277777777777778,Diyala56,indus2,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-2200,-1900,Harappan,Indus,India-Pakistan
0.5266666666666666,egypt19thc_4,egypt_4thd_15,-1900,-1800,Middle Kingdom,Egyptian,Egypt,-2600,-2500,Old Kingdom,Egyptian,Egypt
0.5255555555555556,anatolia_14_3,egypt_18th_1,-1400,-1300,Late Bronze,Hittite,Anatolia,-1600,-1300,New Kingdom,Egyptian,Egypt
0.5244444444444445,Diyala54,greece_27_2200BCE7,-2700,-2500,Early Dynastic,Sumerian,Mesopotamia,-2700,-2200,Cycladic,Cyclades,Aegean
0.5244444444444445,egypt_18th_1,mesopotamia_27_25_7,-1600,-1300,New Kingdom,Egyptian,Egypt,-2700,-2500,Early Dynastic,Akkadian,Mesopotamia
0.5244444444444445,greece_28_2500BCE2,susa1,-2800,-2500,Cycladic,Cyclades,Aegean,-1400,-1100,Late Bronze Age,Elamite,Iran
